artist,uri,top_genre
Lady Gaga,spotify:artist:1HY2Jd0NmPuamShAr6KMms,art pop
Black Eyed Peas,spotify:artist:1yxSLGMDHlW21z4YXirZDS,dance pop
Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m,dance pop
Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,pop
Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,chicago rap
T.I.,spotify:artist:4OBJLual30L7gRl5UkeRcT,atl hip hop
Britney Spears,spotify:artist:26dSoYclwsYLMAKD3tpOr4,dance pop
Miley Cyrus,spotify:artist:5YGY8feqx7naU7z4HrwZM6,dance pop
Flo Rida,spotify:artist:0jnsk9HBra6NMjO2oANoPY,dance pop
Katy Perry,spotify:artist:6jJ0s89eD6GaHleKKya26X,dance pop
P!nk,spotify:artist:1KCSPY1glIKqW2TotWuXOR,dance pop
Pitbull,spotify:artist:0TnOYISbd1XYRBk9myaseg,dance pop
Ne-Yo,spotify:artist:21E3waRsmPlU7jZsS13rcj,dance pop
Kelly Clarkson,spotify:artist:3BmGtnKgCSGYIUhmivXKWX,dance pop
The Fray,spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK,neo mellow
Jason Mraz,spotify:artist:4phGZZrJZRo4ElhRtViYdl,acoustic pop
Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,canadian hip hop
Lil Wayne,spotify:artist:55Aa2cqylxrFIXC767Z865,hip hop
Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,barbadian pop
Kings of Leon,spotify:artist:2qk9voo8llSGYcZ6xrBzKx,modern rock
The All-American Rejects,spotify:artist:3vAaWhdBR38Q02ohXqaNHT,modern rock
Keri Hilson,spotify:artist:63wjoROpeh5f11Qm93UiJ1,dance pop
Soulja Boy,spotify:artist:6GMYJwaziB4ekv1Y6wCDWS,atl hip hop
Akon,spotify:artist:0z4gvV4rjIZ9wHck67ucSV,dance pop
T-Pain,spotify:artist:3aQeKQSyrW4qWr35idm0cy,dance pop
Kid Cudi,spotify:artist:0fA0VVWsXO9YnASrzqfmYu,hip hop
Shinedown,spotify:artist:70BYFdaZbEKbeauJ670ysI,alternative metal
Nickelback,spotify:artist:6deZN1bslXzeGvOLaLMOIF,alternative metal
Zac Brown Band,spotify:artist:6yJCxee7QumYr820xdIsjo,contemporary country
Jamie Foxx,spotify:artist:7LnaAXbDVIL75IVPnndf7w,hip hop
3OH!3,spotify:artist:0FWzNDaEu9jdgcYTbcOa4F,dance pop
Jeremih,spotify:artist:3KV3p5EY4AvKxOlhGHORLg,chicago rap
Sean Kingston,spotify:artist:6S0dmVVn4udvppDhZIWxCr,dance pop
Keith Urban,spotify:artist:0u2FHSq3ln94y5Q57xazwf,australian country
